IDpol,ClaimNb,Exposure,Area,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region
6113950,0,0.08,F,4,0,45,50,B12,Regular,17140,R11
6113951,0,0.05,F,4,0,45,50,B12,Regular,17140,R11
6113952,0,0.13,E,4,0,24,95,B12,Regular,3852,R11
6113953,0,0.05,C,11,0,65,50,B12,Diesel,233,R21
6113954,0,0.08,C,11,0,65,50,B12,Diesel,233,R21
6113955,0,0.09,A,12,1,47,50,B12,Diesel,35,R93
6113956,0,0.02,A,12,1,47,50,B12,Diesel,35,R93
6113957,0,0.07,D,7,2,39,85,B12,Diesel,913,R25
6113958,0,0.06,D,7,2,39,85,B12,Diesel,913,R25
6113959,0,0.08,D,4,0,39,50,B12,Regular,902,R31
6113960,0,0.05,D,4,0,39,50,B12,Regular,902,R31
6113961,0,0.1,C,8,2,40,65,B3,Diesel,230,R82
6113962,0,0.03,C,8,2,40,65,B3,Diesel,230,R82
6113963,0,0.13,E,10,3,32,76,B12,Regular,6689,R11
6113964,0,0.002739726,E,4,0,44,50,B12,Regular,3317,R93
6113965,0,0.02,E,4,0,44,50,B12,Regular,3317,R93
6113966,0,0.05,E,4,0,44,50,B12,Regular,3317,R93
6113967,0,0.05,E,4,0,44,50,B12,Regular,3317,R93
6113968,0,0.08,E,4,7,29,100,B12,Regular,9484,R11
6113969,0,0.04,F,5,1,35,80,B12,Diesel,18229,R11
6113970,0,0.08,F,5,1,35,80,B12,Diesel,18229,R11
6113971,1,0.13,D,7,10,39,50,B4,Regular,820,R41
6113972,0,0.04,E,5,0,71,50,B12,Diesel,2674,R93
6113973,0,0.08,E,5,0,71,50,B12,Diesel,2674,R93
6113974,0,0.12,D,4,0,76,50,B12,Regular,1541,R91
6113975,0,0.12,D,6,10,27,118,B1,Diesel,1978,R31
6113976,0,0.12,B,4,0,29,100,B12,Regular,65,R93
6113977,0,0.06,C,5,1,56,50,B12,Diesel,151,R93
6113978,0,0.05,C,5,1,56,50,B12,Diesel,151,R93
6113979,0,0.05,F,4,0,26,100,B12,Regular,12374,R11
6113980,0,0.06,F,4,0,26,100,B12,Regular,12374,R11
6113981,0,0.03,C,11,0,59,50,B12,Diesel,388,R93
6113982,0,0.08,C,11,0,59,50,B12,Diesel,388,R93
6113983,0,0.08,F,4,1,31,76,B12,Regular,16284,R11
6113984,0,0.05,A,5,4,50,85,B12,Diesel,10,R24
6113985,0,0.07,A,5,4,50,85,B12,Diesel,10,R24
6113986,0,0.12,E,8,3,47,50,B12,Diesel,7306,R11
6113987,0,0.12,C,4,0,61,50,B12,Regular,373,R83
6113988,0,0.06,D,7,4,42,50,B12,Diesel,1381,R82
6113989,0,0.06,D,7,4,42,50,B12,Diesel,1381,R82
6113990,0,0.03,C,12,1,24,85,B12,Regular,215,R93
6113991,0,0.08,C,12,1,24,85,B12,Regular,215,R93
6113992,0,0.12,B,9,1,23,80,B4,Diesel,81,R73
6113993,0,0.06,D,4,0,60,50,B12,Regular,912,R41
6113994,0,0.05,D,4,0,60,50,B12,Regular,912,R41
6113995,0,0.05,C,5,6,24,125,B2,Regular,328,R93
6113996,0,0.06,C,5,6,24,125,B2,Regular,328,R93
6113997,0,0.1,C,5,4,49,50,B12,Diesel,107,R91
6113998,0,0.12,E,4,5,34,50,B12,Regular,2446,R93
6113999,0,0.09,C,4,0,53,50,B12,Regular,108,R11
6114000,0,0.12,D,4,0,73,50,B12,Regular,674,R11
6114001,0,0.01,C,11,4,62,50,B12,Diesel,288,R82
6114002,0,0.1,C,11,4,62,50,B12,Diesel,288,R82
6114003,0,0.07,E,9,5,28,68,B12,Regular,3663,R11
6114004,0,0.04,E,9,5,28,68,B12,Regular,3663,R11
6114005,0,0.12,D,4,2,24,95,B12,Regular,1005,R93
6114006,0,0.12,A,8,4,74,50,B12,Diesel,20,R82
6114007,0,0.06,D,4,0,24,76,B12,Regular,1214,R31
6114008,0,0.05,D,4,0,24,76,B12,Regular,1214,R31
6114009,0,0.11,C,4,0,70,50,B12,Regular,458,R93
6114010,0,0.11,D,6,10,21,100,B12,Regular,1287,R72
6114011,0,0.11,D,7,1,64,100,B12,Diesel,1793,R73
6114012,0,0.1,B,7,4,22,100,B12,Diesel,51,R72
6114013,0,0.05,A,10,15,28,57,B12,Diesel,23,R74
6114014,0,0.06,A,10,15,28,57,B12,Diesel,23,R74
6114015,0,0.04,D,4,0,38,50,B12,Regular,721,R93
6114016,0,0.06,D,4,0,38,50,B12,Regular,721,R93
6114017,0,0.08,E,4,0,42,52,B12,Regular,2365,R31
6114018,0,0.02,E,4,0,42,52,B12,Regular,2365,R31
6114019,0,0.11,E,8,1,60,75,B12,Diesel,3023,R11
6114020,0,0.1,E,7,4,52,53,B12,Diesel,3744,R93
6114021,0,0.1,C,7,0,51,63,B12,Diesel,476,R82
6114022,0,0.04,C,8,0,52,50,B12,Diesel,351,R23
6114023,0,0.06,C,8,0,52,50,B12,Diesel,351,R23
6114024,0,0.1,D,4,0,63,50,B12,Regular,1430,R11
6114025,0,0.1,C,4,0,44,50,B12,Regular,133,R82
6114026,0,0.1,C,4,7,35,50,B12,Regular,392,R94
6114027,0,0.1,D,13,0,60,80,B12,Regular,1976,R93
6114028,0,0.08,D,10,2,44,50,B12,Regular,595,R93
6114029,0,0.1,C,13,0,33,72,B12,Regular,155,R11
6114030,0,0.03,F,6,4,42,100,B12,Regular,27000,R11
6114031,0,0.01,F,6,4,42,100,B12,Regular,27000,R11
6114032,0,0.04,F,6,4,42,100,B12,Regular,27000,R11
6114033,0,0.1,D,8,6,49,50,B3,Regular,645,R94
6114034,0,0.03,B,11,3,41,50,B12,Diesel,69,R82
6114035,0,0.07,B,11,3,41,50,B12,Diesel,69,R82
6114036,0,0.1,C,8,7,34,50,B2,Regular,179,R82
6114037,0,0.05,E,4,0,75,50,B12,Regular,3744,R93
6114038,0,0.04,E,4,0,75,50,B12,Regular,3744,R93
6114039,0,0.1,D,8,1,47,50,B12,Diesel,721,R93
6114040,0,0.005479452,E,4,0,45,100,B12,Regular,2019,R11
6114041,0,0.05,E,4,0,45,100,B12,Regular,2019,R11
6114042,0,0.03,C,8,2,35,50,B12,Diesel,370,R82
6114043,0,0.07,C,8,2,35,50,B12,Diesel,370,R82
6114044,0,0.08,C,13,0,64,50,B12,Regular,111,R25
6114045,0,0.01,C,13,0,64,50,B12,Regular,111,R25
6114046,0,0.1,C,9,8,40,66,B12,Regular,269,R91
6114047,0,0.03,F,11,2,44,55,B12,Regular,27000,R11
6114048,0,0.06,F,11,2,44,55,B12,Regular,27000,R11
6114049,0,0.1,A,11,0,47,76,B12,Diesel,24,R93
6114050,0,0.1,D,7,0,54,50,B12,Diesel,1199,R52
6114051,0,0.1,E,4,1,40,95,B12,Regular,2699,R11
6114052,0,0.02,C,13,0,47,50,B12,Regular,221,R72
6114053,0,0.07,C,13,0,47,50,B12,Regular,221,R72
6114054,0,0.08,E,7,0,43,57,B12,Regular,8915,R11
6114055,0,0.01,E,7,0,43,57,B12,Regular,8915,R11
6114056,0,0.05,D,4,2,56,72,B12,Diesel,745,R82
6114057,0,0.08,C,4,1,39,50,B12,Diesel,343,R93
6114058,0,0.08,C,5,2,38,50,B2,Regular,465,R11
6114059,0,0.09,C,4,0,32,62,B12,Regular,473,R11
6114060,0,0.09,D,4,0,39,57,B12,Regular,534,R73
6114061,0,0.02,F,4,0,28,100,B12,Regular,27000,R11
6114062,0,0.06,F,4,0,28,100,B12,Regular,27000,R11
6114063,0,0.01,C,7,5,38,76,B12,Diesel,373,R41
6114064,0,0.07,C,7,5,38,76,B12,Diesel,373,R41
6114065,0,0.04,A,7,1,68,50,B12,Diesel,16,R26
6114066,0,0.04,A,7,1,68,50,B12,Diesel,16,R26
6114067,0,0.03,E,5,1,30,85,B12,Diesel,2472,R82
6114068,0,0.05,E,5,1,30,85,B12,Diesel,2472,R82
6114069,0,0.09,D,4,2,33,50,B6,Diesel,1421,R11
6114070,0,0.07,E,4,1,70,50,B12,Regular,6913,R11
6114071,0,0.09,C,7,1,38,50,B12,Diesel,478,R41
6114072,0,0.06,E,5,5,38,50,B12,Regular,4348,R72
6114073,0,0.01,E,5,5,38,50,B12,Regular,4348,R72
6114074,0,0.08,C,5,5,25,90,B12,Regular,316,R93
6114075,0,0.09,D,4,0,48,50,B12,Regular,1171,R11
6114076,0,0.03,C,4,0,59,50,B12,Regular,134,R91
6114077,0,0.06,C,4,0,59,50,B12,Regular,134,R91
6114078,0,0.08,F,8,1,40,54,B12,Regular,27000,R11
6114079,0,0.07,C,13,1,64,50,B12,Regular,118,R93
6114080,0,0.008219178,E,7,3,52,68,B12,Diesel,3173,R11
6114081,0,0.08,E,15,2,52,50,B12,Regular,4762,R93
6114082,0,0.06,E,4,0,76,50,B12,Regular,2575,R52
6114083,0,0.01,E,4,0,76,50,B12,Regular,2575,R52
6114084,0,0.005479452,E,4,0,76,50,B12,Regular,2575,R52
6114085,0,0.08,C,10,1,59,50,B12,Regular,102,R93
6114086,0,0.08,B,5,0,42,80,B12,Diesel,53,R54
6114087,0,0.08,D,7,0,65,50,B12,Diesel,1341,R21
6114088,0,0.02,E,6,4,26,95,B12,Regular,2139,R11
6114089,0,0.05,E,6,4,26,95,B12,Regular,2139,R11
6114090,0,0.08,D,5,7,42,50,B2,Regular,966,R26
6114091,0,0.08,D,7,10,35,72,B13,Regular,645,R94
6114092,0,0.07,C,5,5,19,100,B12,Regular,237,R82
6114093,0,0.01,D,4,1,56,50,B12,Regular,1130,R82
6114094,0,0.06,D,4,1,56,50,B12,Regular,1130,R82
6114095,0,0.08,C,4,0,60,50,B12,Regular,206,R11
6114096,0,0.07,E,10,4,38,50,B12,Regular,2663,R11
6114097,0,0.07,F,5,1,51,100,B12,Regular,27000,R11
6114098,0,0.07,B,4,15,52,54,B2,Regular,80,R82
6114099,0,0.06,E,11,0,56,50,B12,Diesel,3856,R11
6114100,0,0.06,E,11,0,60,50,B12,Diesel,2190,R11
6114101,0,0.01,E,11,0,60,50,B12,Diesel,2190,R11
6114102,0,0.06,D,5,1,39,53,B3,Diesel,778,R22
6114103,0,0.07,D,4,0,40,95,B12,Regular,1541,R91
6114104,0,0.07,E,4,0,68,50,B12,Regular,4456,R72
6114105,0,0.06,E,4,1,51,76,B12,Regular,9307,R82
6114106,0,0.04,E,10,0,60,50,B12,Diesel,2375,R11
6114107,0,0.005479452,E,10,0,60,50,B12,Diesel,2375,R11
6114108,0,0.06,E,15,1,36,50,B12,Regular,3744,R93
6114109,0,0.02,E,5,2,25,100,B12,Regular,4982,R23
6114110,0,0.04,E,5,2,25,100,B12,Regular,4982,R23
6114111,0,0.01,B,12,1,56,50,B12,Diesel,69,R93
6114112,0,0.08,B,12,1,56,50,B12,Diesel,69,R93
6114113,0,0.04,E,4,2,23,74,B12,Regular,8549,R82
6114114,0,0.02,E,4,2,23,74,B12,Regular,8549,R82
6114115,0,0.06,E,11,0,75,50,B12,Diesel,2375,R11
6114116,0,0.07,A,10,6,34,57,B12,Regular,46,R52
6114117,0,0.07,D,5,0,53,54,B12,Regular,1445,R72
6114118,0,0.05,E,12,2,34,50,B12,Diesel,3274,R11
6114119,0,0.01,E,12,2,34,50,B12,Diesel,3274,R11
6114120,0,0.06,D,11,2,60,50,B12,Regular,987,R93
6114121,0,0.06,C,4,0,58,76,B12,Regular,342,R93
6114122,0,0.06,E,4,9,34,76,B1,Regular,6681,R11
6114123,0,0.03,E,5,0,70,50,B12,Diesel,3110,R11
6114124,0,0.03,E,5,0,70,50,B12,Diesel,3110,R11
6114125,0,0.06,C,4,0,29,54,B12,Regular,105,R91
6114126,0,0.04,C,11,6,40,50,B12,Diesel,349,R82
6114127,0,0.06,C,4,0,63,57,B12,Regular,237,R93
6114128,0,0.06,E,4,0,42,50,B12,Regular,4087,R53
6114129,0,0.03,D,8,3,46,50,B12,Diesel,889,R82
6114130,0,0.03,D,8,3,46,50,B12,Diesel,889,R82
6114131,0,0.06,E,4,0,62,60,B12,Regular,4982,R23
6114132,0,0.05,E,10,1,44,50,B12,Regular,5410,R11
6114133,0,0.06,D,6,5,54,50,B12,Regular,1811,R73
6114134,0,0.04,C,4,0,27,60,B12,Regular,329,R31
6114135,0,0.01,C,4,0,27,60,B12,Regular,329,R31
6114136,0,0.06,D,7,5,75,50,B3,Diesel,593,R82
6114137,0,0.06,C,8,1,57,54,B12,Diesel,203,R72
6114138,0,0.06,E,10,4,26,90,B12,Regular,7259,R31
6114139,0,0.01,E,9,5,24,80,B12,Regular,2191,R26
6114140,0,0.06,E,9,5,24,80,B12,Regular,2191,R26
6114141,0,0.06,A,4,1,54,50,B12,Regular,16,R73
6114142,0,0.04,C,5,1,31,90,B12,Diesel,386,R82
6114143,0,0.03,D,4,0,48,100,B12,Regular,1541,R91
6114144,0,0.03,D,4,0,48,100,B12,Regular,1541,R91
6114145,0,0.06,D,4,15,37,50,B1,Regular,1767,R31
6114146,0,0.06,E,8,2,49,50,B12,Diesel,2674,R93
6114147,0,0.05,A,11,2,50,50,B12,Diesel,22,R26
6114148,0,0.008219178,A,11,2,50,50,B12,Diesel,22,R26
6114149,0,0.06,B,8,0,40,52,B12,Regular,82,R82
6114150,0,0.06,D,4,15,69,50,B1,Regular,1541,R91
6114151,0,0.06,E,4,0,26,68,B12,Regular,3184,R11
6114152,0,0.06,D,4,1,73,54,B12,Regular,721,R93
6114153,0,0.06,F,8,0,41,90,B12,Diesel,17140,R11
6114154,0,0.06,B,7,4,33,50,B12,Diesel,87,R72
6114155,0,0.03,D,4,2,27,76,B12,Diesel,863,R82
6114156,0,0.02,D,4,2,27,76,B12,Diesel,863,R82
6114157,0,0.06,C,5,0,54,50,B12,Regular,349,R82
6114158,0,0.03,E,10,2,41,50,B12,Regular,4998,R11
6114159,0,0.03,E,10,2,41,50,B12,Regular,4998,R11
6114160,0,0.06,D,13,0,75,50,B12,Regular,1687,R93
6114161,0,0.06,C,10,10,34,57,B12,Diesel,104,R72
6114162,0,0.06,E,8,0,34,64,B12,Diesel,2983,R31
6114163,0,0.06,C,10,5,37,64,B12,Regular,317,R82
6114164,0,0.06,D,4,0,55,50,B12,Regular,528,R93
6114165,0,0.06,E,10,0,59,50,B12,Regular,4762,R93
6114166,0,0.06,C,7,3,41,50,B2,Regular,200,R72
6114167,0,0.06,E,7,4,42,85,B12,Regular,8549,R82
6114168,0,0.06,F,5,4,30,100,B12,Regular,27000,R11
6114169,0,0.06,A,11,0,55,50,B12,Diesel,43,R21
6114170,0,0.03,A,5,6,54,50,B12,Regular,28,R54
6114171,0,0.06,C,4,1,49,50,B12,Diesel,107,R93
6114172,0,0.05,D,4,0,32,76,B12,Regular,793,R11
6114173,0,0.04,D,11,1,42,77,B12,Diesel,1232,R93
6114174,0,0.05,C,11,0,58,63,B12,Diesel,144,R93
6114175,0,0.03,E,5,1,28,85,B12,Diesel,4470,R11
6114176,0,0.01,E,5,1,28,85,B12,Diesel,4470,R11
6114177,0,0.05,E,7,5,20,100,B2,Regular,7313,R31
6114178,0,0.04,D,5,15,44,50,B2,Diesel,1326,R93
6114179,0,0.01,D,5,15,44,50,B2,Diesel,1326,R93
6114180,0,0.05,F,4,0,76,50,B12,Regular,27000,R11
6114181,0,0.04,E,4,1,34,51,B12,Regular,2740,R22
6114182,0,0.05,F,4,1,40,50,B12,Regular,27000,R11
6114183,0,0.05,D,7,4,23,80,B12,Diesel,1489,R52
6114184,0,0.05,D,6,2,39,50,B12,Diesel,930,R11
6114185,0,0.04,E,4,0,53,50,B12,Regular,3963,R91
6114186,0,0.04,E,4,0,38,51,B12,Regular,8561,R11
6114187,0,0.04,E,4,0,50,50,B12,Regular,3434,R11
6114188,0,0.04,F,4,0,64,50,B12,Regular,27000,R11
6114189,0,0.04,C,4,2,76,50,B12,Regular,342,R93
6114190,0,0.04,E,13,0,51,50,B12,Regular,3430,R93
6114191,0,0.04,A,9,3,32,50,B12,Diesel,19,R94
6114192,0,0.01,B,9,8,63,50,B12,Regular,67,R82
6114193,0,0.04,C,8,2,66,50,B12,Diesel,342,R93
6114194,0,0.04,D,8,4,39,100,B12,Diesel,1629,R93
6114195,0,0.04,D,4,1,55,50,B12,Regular,1858,R11
6114196,0,0.04,F,4,1,24,112,B12,Regular,16533,R11
6114197,0,0.04,E,4,2,32,90,B12,Regular,2308,R31
6114198,0,0.04,E,11,0,61,50,B12,Regular,3132,R11
6114199,0,0.01,E,8,2,64,50,B12,Diesel,3628,R82
6114200,0,0.02,E,8,2,64,50,B12,Diesel,3628,R82
6114201,0,0.04,F,13,0,60,50,B12,Regular,27000,R11
6114202,0,0.04,B,11,8,64,50,B12,Regular,65,R82
6114203,0,0.04,E,9,1,27,64,B12,Diesel,3657,R82
6114204,0,0.04,D,4,1,25,90,B12,Diesel,776,R93
6114205,0,0.04,B,6,3,22,80,B3,Diesel,88,R82
6114206,0,0.04,A,12,5,57,50,B12,Diesel,23,R41
6114207,0,0.04,E,4,0,52,50,B12,Regular,5202,R11
6114208,0,0.04,D,4,3,55,50,B12,Regular,609,R93
6114209,0,0.04,E,7,2,26,70,B12,Diesel,9850,R11
6114210,0,0.04,C,6,7,76,50,B12,Regular,208,R52
6114211,0,0.04,E,7,2,27,60,B2,Regular,2663,R11
6114212,0,0.04,F,11,0,44,72,B12,Diesel,27000,R11
6114213,0,0.04,D,5,4,52,64,B2,Diesel,721,R93
6114214,0,0.04,E,5,10,23,80,B5,Regular,3132,R11
6114215,0,0.04,D,8,0,29,57,B12,Regular,721,R93
6114216,0,0.04,D,4,0,29,100,B12,Regular,1867,R11
6114217,0,0.005479452,C,4,0,70,50,B12,Regular,174,R23
6114218,0,0.03,C,4,0,70,50,B12,Regular,174,R23
6114219,0,0.04,D,4,0,36,50,B12,Regular,1410,R72
6114220,0,0.04,D,4,0,55,50,B12,Regular,796,R25
6114221,0,0.04,E,9,5,25,80,B10,Regular,5433,R93
6114222,0,0.04,E,4,0,28,76,B12,Regular,6157,R31
6114223,0,0.03,E,10,1,65,50,B12,Regular,3430,R93
6114224,0,0.04,C,11,9,24,118,B12,Regular,114,R82
6114225,0,0.03,F,5,0,32,50,B12,Regular,27000,R11
6114226,0,0.03,C,7,4,29,76,B11,Regular,270,R82
6114227,0,0.03,E,6,15,26,90,B2,Diesel,6570,R11
6114228,0,0.02,E,4,0,46,52,B12,Regular,5877,R11
6114229,0,0.02,C,9,3,30,54,B12,Regular,391,R82
6114230,0,0.03,A,8,1,35,51,B12,Diesel,20,R83
6114231,0,0.03,D,7,6,60,50,B12,Diesel,824,R91
6114232,0,0.03,E,7,0,43,50,B12,Regular,2278,R11
6114233,0,0.01,E,7,2,28,76,B12,Diesel,2674,R93
6114234,0,0.03,E,5,0,42,95,B12,Regular,2446,R93
6114235,0,0.03,E,7,2,70,50,B10,Regular,3430,R93
6114236,0,0.03,A,11,0,56,50,B12,Diesel,16,R94
6114237,0,0.02,E,11,0,86,50,B12,Regular,5433,R93
6114238,0,0.03,C,8,1,62,50,B12,Diesel,270,R54
6114239,0,0.03,F,13,0,32,54,B12,Regular,27000,R11
6114240,0,0.03,F,4,0,31,100,B12,Regular,22669,R11
6114241,0,0.03,E,8,4,26,100,B4,Diesel,3430,R82
6114242,0,0.03,C,11,0,48,50,B12,Diesel,458,R93
6114243,0,0.03,B,4,0,59,50,B12,Regular,69,R73
6114244,0,0.03,C,10,4,35,50,B12,Regular,110,R93
6114245,0,0.03,E,4,0,32,100,B12,Regular,8455,R82
6114246,0,0.03,B,7,4,32,56,B12,Diesel,72,R52
6114247,0,0.03,E,6,1,38,50,B12,Regular,3744,R93
6114248,0,0.02,C,7,2,33,50,B12,Diesel,288,R73
6114249,0,0.03,D,9,0,54,50,B12,Diesel,867,R23
6114250,0,0.02,E,4,0,25,109,B12,Regular,9484,R11
6114251,0,0.002739726,F,4,0,38,100,B12,Regular,27000,R11
6114252,0,0.02,F,4,0,67,70,B12,Regular,15703,R11
6114253,0,0.02,E,5,8,27,80,B2,Regular,5433,R93
6114254,0,0.02,E,4,0,23,76,B12,Regular,3301,R73
6114255,0,0.02,D,7,0,57,50,B12,Diesel,912,R82
6114256,0,0.02,D,4,3,25,68,B12,Regular,1374,R82
6114257,0,0.02,A,4,0,37,100,B12,Regular,18,R82
6114258,0,0.02,F,4,0,26,90,B12,Diesel,10155,R11
6114259,0,0.02,E,4,0,39,50,B12,Regular,4116,R24
